url,word,definition,mnemonic,highlighted_text,images
https://mammothmemory.net/memory/remembering-months-and-signs-of-the-zodiac/remembering-signs-of-the-zodiac/capricorn.html,Capricorn,Capricorn is the sign of the goat and occurs on January 1st. (See previous discussions),"['Capricorn – Cap and Coat (goat) and horn playing (corn)', 'January – Janitor', 'Goat – Goat', 'The goat\xa0in the cap and coat played the horn (Capricorn\xa0and goat) on stage but only the janitor was watching']","['Capricorn – Cap and Coat (goat) and horn playing (corn)', '–', 'January – Janitor', '–', 'Goat – Goat', '–', 'goat', 'cap', 'coat', 'janitor']",['https://mammothmemory.net/images/user/base/Memory/Months/goat.jpg']
https://mammothmemory.net/memory/remembering-months-and-signs-of-the-zodiac/remembering-signs-of-the-zodiac/aquarius.html,Aquarius,Aquarius is the sign of the water bearer and occurs on 1st February,"['Aquarius – Aqua various', 'Water bearer – Water\xa0into beer', 'February – Fed\xa0into Brewery', 'Aqua makes various beers (Aquarius). Water is fed into a brewery (February) and the water is turned into beer (water bearer)']","['Aquarius – Aqua various', '–', 'Water bearer – Water\xa0into beer', '–', 'February – Fed\xa0into Brewery', '–', 'Aqua', 'various', 'fed', 'brewery', 'water', 'beer']",['https://mammothmemory.net/images/user/base/Memory/Months/aquarius v2 (2).jpg']
https://mammothmemory.net/memory/remembering-months-and-signs-of-the-zodiac/remembering-signs-of-the-zodiac/pisces.html,Pisces,Pisces is the sign of the fish and occurs on the 1st March,"['Pisces – Pie', 'Fish – Fish', 'March – Marching', 'The fish marched around the pie']","['Pisces – Pie', '–', 'Fish – Fish', '–', 'March – Marching', '–', 'fish marched', 'pie']",['https://mammothmemory.net/images/user/base/Memory/Months/Pisces.jpg']
https://mammothmemory.net/memory/remembering-months-and-signs-of-the-zodiac/remembering-signs-of-the-zodiac/aries.html,Aries,Aries is the sign of the ram and occurs on April 1st. To remember this link the following:,"['Aries – Air', 'Ram – Ram', 'April – A pill', '', 'The ram took a blue pill\xa0(April) and\xa0jumped crazily up in the air (Aries).']","['Aries – Air', '–', 'Ram – Ram', '–', 'April – A pill', '–', '', 'ram', 'a', 'blue', 'pill', 'air (Aries)', '(Aries)', '.']",['https://mammothmemory.net/images/user/base/Memory/Months/Aries (2).jpg']
https://mammothmemory.net/memory/remembering-months-and-signs-of-the-zodiac/remembering-signs-of-the-zodiac/taurus.html,Taurus,Taurus is the sign of the bull and occurs on May 1st. To remember this link to :,"['Taurus – Tore up stuff', 'Bull – Bull', 'May –\xa0Maypole', 'The bull tore up stuff so they tied him on the maypole.']","['Taurus – Tore up stuff', '–', 'Bull – Bull', '–', 'May –\xa0Maypole', '–', 'bull', 'tore up stuff', 'may']",['https://mammothmemory.net/images/user/base/Memory/Months/taurus v2.jpg']
https://mammothmemory.net/memory/remembering-months-and-signs-of-the-zodiac/remembering-signs-of-the-zodiac/gemini.html,Gemini,Gemini is the sign of twins and occurs on June 1st,"['Gemini – Gems', 'Twins – Twins', 'June – Dune', '', 'In June the twins always ski on their gem-encrusted\xa0skis down dunes']","['Gemini – Gems', '–', 'Twins – Twins', '–', 'June – Dune', '–', '', 'June', 'gem', 'dunes']",['https://mammothmemory.net/images/user/base/Memory/Months/Gemini.jpg']
https://mammothmemory.net/memory/remembering-months-and-signs-of-the-zodiac/remembering-signs-of-the-zodiac/cancer.html,Cancer,Cancer is the sign of the crab and occurs on July 1st,"['Cancer – Can', 'Crab – Crab', 'July – To lie in a hammock', '', 'To get away from the crab who seemed to crush everything including cans, he had to\xa0lie in his hammock.']","['Cancer – Can', '–', 'Crab – Crab', '–', 'July – To lie in a hammock', '–', '', 'crab', 'cans', 'to', 'lie', 'hammock.']",['https://mammothmemory.net/images/user/base/Memory/Months/cancer crab v2.jpg']
https://mammothmemory.net/memory/remembering-months-and-signs-of-the-zodiac/remembering-signs-of-the-zodiac/leo.html,Leo,Leo is the sign of the lion and occurs on the 1st of August.,"['Leo –\xa0The lion', 'Lion –\xa0Lion', 'August –\xa0All guests', 'Leo the lion produces all the gusts of wind that are produced in the world.']","['–', '–', '–', 'Leo', 'lion', 'gusts']",['https://mammothmemory.net/images/user/base/Memory/Months/Leo.jpg']
https://mammothmemory.net/memory/remembering-months-and-signs-of-the-zodiac/remembering-signs-of-the-zodiac/virgo.html,Virgo,Virgo is the sign of the virgin and occurs on September 1st.,"['Virgo – Virgin goes', 'Virgin – Virgin Mary', 'September – Septic (tank) member', 'The\xa0Virgin Mary\xa0walks\xa0away\xa0(virgin goes)\xa0from the septic tank member.']","['–', '–', 'September – Septic (tank) member', '–', 'Virgin Mary', 'away', 'septic tank', 'tank', 'member']",['https://mammothmemory.net/images/user/base/Memory/Months/Virgo - virgin mary v2.jpg']
https://mammothmemory.net/memory/remembering-months-and-signs-of-the-zodiac/remembering-signs-of-the-zodiac/libra.html,Libra,"Libra is the sign of the scales and occurs on October 1st. To remember this, link the following:","['Libra – Library', 'Scales – Scales', 'October – Octopus', 'It was almost impossible to weigh the octopus on the scales while she was trying to read books from the library']","['Libra – Library', '–', 'Scales – Scales', '–', 'October – Octopus', '–', 'octopus', 'scales', 'library']",['https://mammothmemory.net/images/user/base/Memory/Months/Libra (3).jpg']
